Date,AUD/USD,GBP/USD,CAD/USD,NLG/USD,FRF/USD,DEM/USD,JPY/USD,CHF/USD
1/2/96,1.34535181,0.642467074,1.3577,1.6075,4.9025,1.4354,103.92,1.1573
1/3/96,1.336005344,0.644454469,1.353,1.6128,4.918,1.441,104.35,1.1605
1/4/96,1.341741581,0.646705038,1.3541,1.629,4.9625,1.4542,106.41,1.1737
1/5/96,1.337792642,0.644329897,1.3573,1.6106,4.923,1.4386,105.13,1.1605
1/8/96,1.338150676,0.645369474,1.3609,1.613,4.937,1.4396,105.8,1.1631
1/9/96,1.342822613,0.646203554,1.3616,1.6153,4.942,1.4422,104.9,1.1658
1/10/96,1.338867318,0.64699793,1.3649,1.614,4.932,1.4411,105.28,1.1635
1/11/96,1.339584729,0.647458725,1.3645,1.613,4.942,1.44,104.8,1.1617
1/12/96,1.343183345,0.645702848,1.3625,1.6132,4.938,1.4405,105.07,1.1605
1/16/1996,1.345713901,0.650195059,1.3667,1.6342,4.991,1.4593,NA,1.1755
1/17/1996,1.351351351,0.655522779,1.369,1.6415,5.01,1.466,105.38,1.1847
1/18/1996,1.353363107,0.656685054,1.364,1.6453,5.025,1.4695,105.44,1.1866
1/19/1996,1.359619307,0.662558802,1.3652,1.656,5.0535,1.4815,105.4,1.1942
1/22/1996,1.366493577,0.660720185,1.369,1.6543,5.0495,1.477,105.76,1.1886
1/23/1996,1.360544218,0.660720185,1.371,1.6585,5.0745,1.4815,105.8,1.192
1/24/1996,1.358880283,0.662602703,1.3705,1.663,5.086,1.485,106.92,1.1936
1/25/1996,1.356852103,0.663349917,1.3768,1.6655,5.1005,1.4875,106.9,1.1953
1/26/1996,1.354646437,0.665335995,1.3822,1.67,5.124,1.4909,106.6,1.2079
1/29/1996,1.351351351,0.663878377,1.3815,1.6622,5.108,1.4845,106.8,1.208
1/30/1996,1.348254011,0.665026269,1.3775,1.668,5.117,1.489,NA,1.2133
1/31/1996,1.34354427,0.662427133,1.3743,1.667,5.109,1.4895,106.95,1.2123
2/1/96,1.337971635,0.660851176,1.3738,1.6726,5.124,1.493,107.08,1.2195
2/2/96,1.323276432,0.658327847,1.3749,1.6615,5.102,1.486,106.7,1.218
2/5/96,1.324678765,0.651380928,1.378,1.6423,5.0455,1.4663,105.02,1.197
2/6/96,1.325029813,0.649266329,1.3735,1.6502,5.068,1.4732,105.54,1.2022
